date;arima-man;sarima;ses;xgboost
2022-03-11;8.285812306214355;7.941278805913455;7.7157742637846525;8.193992
2022-03-12;4.293431240533563;6.568060857321233;7.7157742637846525;8.193992
2022-03-13;6.187384450590447;6.383873940985986;7.7157742637846525;8.193992
2022-03-14;12.308409809433517;8.95841946812945;7.7157742637846525;8.193992
2022-03-15;8.514152692664567;6.873198734922913;7.7157742637846525;8.193992
2022-03-16;7.816712778279951;7.193529744363079;7.7157742637846525;8.193992
2022-03-17;8.08086541487368;6.189957405750729;7.7157742637846525;8.193992
2022-03-18;9.22694000167774;7.112345683345992;7.7157742637846525;8.193992
2022-03-19;4.693146397993549;6.937273418436401;7.7157742637846525;8.193992
2022-03-20;6.248970886127607;6.759085040150187;7.7157742637846525;8.193992
2022-03-21;12.033148260766842;6.809918042643456;7.7157742637846525;8.193992
2022-03-22;8.658860801240367;7.183648469905742;7.7157742637846525;8.193992
2022-03-23;7.676338178918418;7.363394259530892;7.7157742637846525;8.193992
2022-03-24;8.223317320367851;6.929671710809143;7.7157742637846525;8.193992
2022-03-25;9.11268401487134;7.84307609531397;7.7157742637846525;8.193992
2022-03-26;4.894052825217647;7.84307609531397;7.7157742637846525;8.193992
2022-03-27;6.289191569415735;7.84307609531397;7.7157742637846525;8.193992
2022-03-28;11.774557908946983;7.84307609531397;7.7157742637846525;8.193992
2022-03-29;8.775513635601655;7.84307609531397;7.7157742637846525;8.193992
2022-03-30;7.568179061791854;7.84307609531397;7.7157742637846525;8.193992
2022-03-31;8.332238225611935;7.84307609531397;7.7157742637846525;8.193992
2022-04-01;9.02433638048745;7.84307609531397;7.7157742637846525;8.193992
2022-04-02;5.073106914298721;7.84307609531397;7.7157742637846525;8.193992
2022-04-03;6.332807342306071;7.84307609531397;7.7157742637846525;8.193992
2022-04-04;11.53556799774579;7.84307609531397;7.7157742637846525;8.193992
2022-04-05;8.86871600413476;7.84307609531397;7.7157742637846525;8.193992
2022-04-06;7.486689651283651;7.84307609531397;7.7157742637846525;8.193992
2022-04-07;8.41400473056714;7.84307609531397;7.7157742637846525;8.193992
2022-04-08;8.956314782553472;7.84307609531397;7.7157742637846525;8.193992
2022-04-09;5.234463826546724;7.84307609531397;7.7157742637846525;8.193992
